property;n;sum;min;max;Gini
http://www.wikidata.org/prop/direct/P359;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P358;7257;7262;1;2;6.88E-04
http://www.wikidata.org/prop/direct/P356;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P355;68000;70308;1;19;0.032199662
http://www.wikidata.org/prop/direct/P354;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P353;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P352;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P351;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P350;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P349;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P348;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P347;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P345;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P527;92400;194459;1;3420;0.508220177
http://www.wikidata.org/prop/direct/P306;504;29761;1;9147;0.94023945
http://www.wikidata.org/prop/direct/P305;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P360;8363;201278;1;44823;0.942789672
http://www.wikidata.org/prop/direct/P303;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P304;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P300;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P299;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P298;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P297;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P296;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P301;94000;96380;1;6;0.024202802
http://www.wikidata.org/prop/direct/P289;1838;12021;1;528;0.656319839
http://www.wikidata.org/prop/direct/P344;10206;80923;1;506;0.706358994
http://www.wikidata.org/prop/direct/P287;4732;11136;1;65;0.471792382
http://www.wikidata.org/prop/direct/P282;447;367961;1;333197;0.994151548
http://www.wikidata.org/prop/direct/P281;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P291;8109;157983;1;20535;0.923953312
http://www.wikidata.org/prop/direct/P278;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P277;287;10289;1;2153;0.926964726
http://www.wikidata.org/prop/direct/P286;6832;11964;1;73;0.371308402
http://www.wikidata.org/prop/direct/P275;301;117176;1;23305;0.942897324
http://www.wikidata.org/prop/direct/P274;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P272;9321;103485;1;2537;0.810231502
http://www.wikidata.org/prop/direct/P271;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P270;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P269;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P268;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P267;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P264;8537;311018;1;9628;0.87207469
http://www.wikidata.org/prop/direct/P263;1237;1548;1;19;0.1775645
http://www.wikidata.org/prop/direct/P1104;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1106;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1109;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1110;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1111;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1113;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1114;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1115;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1116;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1117;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1120;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1121;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1122;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1123;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1128;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1132;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1133;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1136;79;102;1;6;0.191859022
http://www.wikidata.org/prop/direct/P1138;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1139;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1140;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1141;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1142;1293;18772;1;764;0.834335715
http://www.wikidata.org/prop/direct/P1143;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1144;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1145;15;5775;1;3812;0.884363636
http://www.wikidata.org/prop/direct/P1146;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1148;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1149;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1150;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1151;1512;1588;1;3;0.04580318
http://www.wikidata.org/prop/direct/P1153;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1154;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1155;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1156;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1157;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1158;44;448;1;141;0.807934253
http://www.wikidata.org/prop/direct/P1159;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1160;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1163;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1165;204;1095;1;177;0.735683589
http://www.wikidata.org/prop/direct/P1167;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1174;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1181;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1182;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1183;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1184;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1185;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1186;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1187;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1190;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1191;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1192;855;14187;1;1254;0.75831667
http://www.wikidata.org/prop/direct/P1193;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1195;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1196;309;85516;1;46718;0.985350988
http://www.wikidata.org/prop/direct/P1198;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1200;2532;2535;1;2;0.00118203
http://www.wikidata.org/prop/direct/P1201;10;395;1;176;0.682278481
http://www.wikidata.org/prop/direct/P1203;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1204;1818;1819;1;2;5.49E-04
http://www.wikidata.org/prop/direct/P1207;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1209;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1212;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1213;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1214;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1215;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1216;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1217;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1219;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1220;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1225;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1229;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1230;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1232;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1233;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1234;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1235;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1236;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1237;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1238;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1239;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1240;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1242;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1243;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1245;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1246;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1248;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1249;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1250;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1251;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1252;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1253;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1254;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1255;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1256;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1257;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1258;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1259;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1260;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1261;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1262;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1263;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1264;68;193;1;79;0.607208168
http://www.wikidata.org/prop/direct/P1265;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1266;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1267;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1268;1902;2032;1;9;0.061852112
http://www.wikidata.org/prop/direct/P1269;15784;85873;1;2261;0.776297947
http://www.wikidata.org/prop/direct/P1270;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1272;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1273;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1274;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1276;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1277;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1278;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1279;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1280;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1281;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1282;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1283;709;715;1;2;0.008320593
http://www.wikidata.org/prop/direct/P1284;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1285;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1286;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1287;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1288;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1289;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1290;373;440;1;7;0.140433829
http://www.wikidata.org/prop/direct/P1291;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1292;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1294;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1296;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1297;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1299;2161;2477;1;35;0.122336416
http://www.wikidata.org/prop/direct/P1300;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1301;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1302;2462;3553;1;13;0.243667609
http://www.wikidata.org/prop/direct/P1303;818;180835;1;89334;0.979939087
http://www.wikidata.org/prop/direct/P1304;158;159;1;2;0.006249502
http://www.wikidata.org/prop/direct/P1305;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1307;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1308;6562;7037;1;11;0.064364949
http://www.wikidata.org/prop/direct/P1309;0;0;2147483647;0;1
http://www.wikidata.org/prop/direct/P1312;105;1053;1;217;0.801338579
